comment1,comment2,No.,Ticker,MarketCap,P/E,FwdP/E,PEG,P/S,P/B,P/C,P/FCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
bought,"value 6, 1st 4.5",23,SHI,5.46B,4.38,-,-,0.55,0.53,4.14,-,-70.90%,-,-27.80%,-1.10%,-1.70%,22.88,-1.80%,"8,186"
1,,24,PRGO,5.05B,-,13.97,-,1.17,0.96,2.43,-,-211.60%,31.53%,-43.60%,4.00%,14.00%,37.31,-0.53%,"1,327,888"
watch,"value 4.1, 1st 2.9",25,SEB,4.48B,6.17,-,-,0.51,1.03,2.84,-,-1.00%,-,10.80%,-,5.00%,3796.15,-3.54%,570
1,,27,TRQ,4.04B,7.79,22.11,-,2.16,0.41,4.74,-,370.00%,-61.78%,5.50%,-,-8.00%,20.45,-0.29%,"737,485"
2,,28,XRX,3.70B,-,9.69,-,0.53,0.71,1.67,9.56,-67.20%,32.15%,-22.30%,6.00%,-9.30%,20.56,-3.16%,"2,759,060"
1,,29,SSRM,3.57B,17.33,15.08,-,2.48,1.12,4.05,8.28,73.70%,-32.05%,20.40%,-,17.80%,18.04,2.21%,"1,942,383"
bad business,too difficult,33,GHC,2.88B,5.87,12.25,0.32,0.93,0.74,3.16,77.73,-5.00%,32.55%,34.00%,18.10%,2.20%,590.95,-0.96%,"20,180"
bad business,too difficult,36,EDU,2.63B,7.21,-,-,0.61,0.51,0.42,-,-21.90%,-,7.20%,-,23.70%,1.47,-3.29%,"41,190,337"
2,and 1,37,NTCT,2.39B,42.94,16.2,24.12,2.72,1.15,4.32,10.75,815.40%,11.32%,22.50%,1.78%,-2.70%,31.86,4.22%,"742,616"
2,,38,TDS,2.32B,19.9,19.47,-,0.43,0.49,3.2,-,88.40%,10.88%,-0.30%,-,0.10%,20.44,-0.54%,"576,914"
1,,39,RIG,2.29B,-,-,-,0.87,0.21,2.54,4.73,55.00%,-23.10%,-19.10%,-,-15.70%,3.62,-2.95%,"17,015,615"
1,,41,SATS,2.19B,15.69,25.65,3.14,1.11,0.65,1.41,16.72,61.20%,-50.96%,-18.90%,5.00%,0.40%,25.52,1.27%,"394,200"
1,,42,TAL,2.16B,-,5.98,-,0.48,0.38,0.36,2.26,-2.50%,225.00%,-24.10%,-,48.60%,3.11,-3.72%,"4,210,814"
2,,43,PAM,2.14B,3.17,5.15,0.42,1.79,0.7,4.52,-,-3.40%,-20.06%,38.00%,7.60%,60.70%,19.89,-2.07%,"105,367"
1,,45,REGI,1.79B,9.77,9.76,1.85,0.62,1.07,2.0,-,-68.00%,-12.03%,22.90%,5.29%,9.00%,35.55,-5.20%,"677,449"
